Rank,Type,Institute,Branch,Avg General-GN close,2023,2024,2025
1,GFTI,"School of Planning & Architecture, New Delhi",Architecture,194,138,238,207
2,NIT,"National Institute of Technology, Tiruchirappalli",Architecture,297,260,404,227
3,GFTI,"School of Planning & Architecture, New Delhi",Planning,333,330,435,233
4,NIT,National Institute of Technology Calicut,Architecture,367,347,466,289
5,GFTI,"School of Planning & Architecture, Bhopal",Architecture,524,345,754,474
6,NIT,"National Institute of Technology, Rourkela",Architecture,585,490,716,550
7,GFTI,School of Planning & Architecture: Vijayawada,Architecture,608,461,798,566
8,NIT,Maulana Azad National Institute of Technology Bhopal,Planning,651,590,781,581
9,NIT,Malaviya National Institute of Technology Jaipur,Architecture,713,565,926,647
10,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Architecture,803,691,1002,715
11,GFTI,School of Planning & Architecture: Vijayawada,Planning,882,782,1039,825
12,GFTI,"School of Planning & Architecture, Bhopal",Planning,889,818,1093,756
13,NIT,"National Institute of Technology, Kurukshetra",Architecture,1109,,,1109
14,NIT,Maulana Azad National Institute of Technology Bhopal,Architecture,1114,905,1469,967
15,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",Architecture,1133,838,1576,985
16,NIT,National Institute of Technology Raipur,Architecture,1180,932,1538,1070
17,GFTI,"Birla Institute of Technology, Mesra, Ranchi",Architecture,1241,1039,1667,1016
18,NIT,National Institute of Technology Hamirpur,Architecture,1277,1041,1616,1173
19,NIT,National Institute of Technology Patna,Architecture,1313,1065,1687,1187
20,NIT,"National Institute of Technology, Tiruchirappalli",Computer Science and Engineering,1394,1509,1224,1449
21,GFTI,"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",Architecture,1463,1245,1857,1287
22,GFTI,"Mizoram University, Aizawl",Architecture,1473,1299,1863,1258
23,GFTI,Islamic University of Science and Technology Kashmir,Architecture,1600,,,1600
24,NIT,"National Institute of Technology, Kurukshetra",Architecture and Planning,1605,,1605,
25,NIT,"National Institute of Technology Karnataka, Surathkal",Computer Science and Engineering,1809,1984,1615,1827
26,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering,2336,2413,2186,2409
27,NIT,"National Institute of Technology Karnataka, Surathkal",Artificial Intelligence,2739,2973,2594,2650
28,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering ( Artificial Intelligence & Data Science),2950,,2948,2952
29,NIT,"National Institute of Technology Karnataka, Surathkal",Information Technology,3169,3403,2944,3160
30,NIT,"National Institute of Technology, Rourkela",Computer Science and Engineering,3386,3786,2940,3431
31,NIT,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,3580,3922,3348,3471
32,NIT,"National Institute of Technology, Warangal",Mathematics and Computing,3606,4106,3436,3277
33,NIT,"National Institute of Technology, Tiruchirappalli",Electronics and Communication Engineering,3824,4642,3546,3283
34,NIT,"National Institute of Technology, Rourkela",Artificial Intelligence,4216,,3983,4448
35,NIT,Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering,4521,4777,4191,4594
36,NIT,"National Institute of Technology Karnataka, Surathkal",Electronics and Communication Engineering,4723,5596,4227,4347
37,NIT,National Institute of Technology Calicut,Computer Science and Engineering,4987,5256,4482,5222
38,NIT,Malaviya National Institute of Technology Jaipur,Computer Science and Engineering,5074,4909,4711,5601
39,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering,5295,5814,5014,5057
40,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology,5558,5378,5202,6094
41,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology-Business Informatics,5774,5780,5392,6150
42,NIT,"National Institute of Technology, Rourkela",Electronics and Communication Engineering,6092,6770,5721,5785
43,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering (VLSI Design and Technology),6111,7047,5678,5607
44,NIT,"National Institute of Technology, Tiruchirappalli",Electrical and Electronics Engineering,6134,6726,6040,5637
45,NIT,Malaviya National Institute of Technology Jaipur,Artificial Intelligence and Data Engineering,6138,6408,5514,6491
46,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Computer Science and Engineering,6414,7087,5795,6359
47,NIT,"National Institute of Technology, Kurukshetra",Computer Science and Engineering,6518,,6000,7037
48,NIT,"National Institute of Technology, Kurukshetra",Computer Engineering,7401,7401,,
49,NIT,"National Institute of Technology Karnataka, Surathkal",Electrical and Electronics Engineering,7480,8437,7132,6872
50,NIT,"National Institute of Technology, Kurukshetra",Computer Science and Engineering,7500,,7717,7283
51,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Computer Science and Engineering,7661,7741,7113,8130
52,NIT,"National Institute of Technology, Kurukshetra",Artificial Intelligence and Data Science,7998,,7485,8510
53,NIT,"National Institute of Technology, Warangal",Electrical and Electronics Engineering,8301,9265,7851,7788
54,IIIT,"Indian Institute of Information Technology, Allahabad",Electronics and Communication Engineering,8359,9270,7758,8050
55,NIT,National Institute of Technology Calicut,Electronics and Communication Engineering,8368,9358,7433,8314
56,IIIT,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,Computer Science and Engineering,8443,7757,8044,9527
57,NIT,Motilal Nehru National Institute of Technology Allahabad,Electronics and Communication Engineering,8482,9207,7707,8532
58,NIT,National Institute of Technology Delhi,Computer Science and Engineering,8533,9930,8018,7651
59,NIT,"National Institute of Technology, Kurukshetra",Information Technology,8543,9517,7512,8600
60,NIT,National Institute of Technology Delhi,Artificial Intelligence and Data Science,8602,10338,8572,6896
61,NIT,"National Institute of Technology, Jamshedpur",Computer Science and Engineering,8683,9204,7944,8902
62,NIT,"National Institute of Technology, Kurukshetra",Artificial Intelligence and Machine Learning,8958,9237,8432,9204
63,NIT,Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering,9150,9370,8830,9249
64,NIT,Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,9424,10168,8437,9667
65,NIT,"National Institute of Technology, Tiruchirappalli",Mechanical Engineering,9465,10751,9305,8339
66,IIIT,Indian Institute of Information Technology Lucknow,Computer Science and Artificial Intelligence,9497,9545,9384,9562
67,NIT,National Institute of Technology Durgapur,Computer Science and Engineering,9557,10070,8765,9836
68,IIIT,Indian Institute of Information Technology Lucknow,Computer Science,9749,9844,9824,9580
69,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Mathematics and Computing,10026,,9746,10306
70,NIT,"National Institute of Technology, Kurukshetra",Mathematics and Computing,10102,10484,9556,10265
71,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",Artificial Intelligence,10168,10330,9454,10721
72,NIT,"Visvesvaraya National Institute of Technology, Nagpur",Electronics and Communication Engineering,10862,12184,9858,10545
