Priority,Tier,Type,Institute,BranchCode,Branch,Reach
1,GOOD,NIT,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Out
2,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Out
3,GOOD,NIT,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Out
4,GOOD,NIT,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Out
5,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Out
6,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Out
7,GOOD,NIT,National Institute of Technology Calicut,4110,Computer Science and Engineering,Out
8,GOOD,NIT,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Out
9,GOOD,NIT,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Out
10,GOOD,NIT,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,No-data
11,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Out
12,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Out
13,GOOD,NIT,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Reach
14,GOOD,NIT,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Out
15,GOOD,NIT,"National Institute of Technology, Tiruchirappalli",4114,Electronics and Communication Engineering,Out
16,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),No-data
17,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Out
18,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4114,Electronics and Communication Engineering,Out
19,GOOD,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4124,Mathematics and Computing,No-data
20,GOOD,NIT,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Out
21,GOOD,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,Out
22,GOOD,NIT,Malaviya National Institute of Technology Jaipur,411G,Artificial Intelligence and Data Engineering,Out
23,GOOD,NIT,"National Institute of Technology, Rourkela",4114,Electronics and Communication Engineering,Out
24,GOOD,NIT,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,Out
25,GOOD,NIT,Malaviya National Institute of Technology Jaipur,4124,Mathematics and Computing,No-data
26,GOOD,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4110,Computer Science and Engineering,Reach
27,GOOD,NIT,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Out
28,GOOD,NIT,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,Out
29,GOOD,NIT,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,Out
30,GOOD,NIT,Motilal Nehru National Institute of Technology Allahabad,4124,Mathematics and Computing,No-data
