Rank,Type,Institute,Branch,HisQuota,General-GN,OBC-NCL-GN,OBC-PwD,General-PwD
1,NIT,"National Institute of Technology, Tiruchirappalli",Computer Science and Engineering,OS,1394,411,22,36
2,NIT,"National Institute of Technology Karnataka, Surathkal",Computer Science and Engineering,OS,1809,592,42,
3,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering,HS,2336,722,95,107
4,NIT,"National Institute of Technology Karnataka, Surathkal",Artificial Intelligence,OS,2739,998,,143
5,NIT,"National Institute of Technology, Warangal",Computer Science and Engineering ( Artificial Intelligence & Data Science),HS,2950,1070,,160
6,NIT,"National Institute of Technology Karnataka, Surathkal",Information Technology,OS,3169,1132,,114
7,NIT,"National Institute of Technology, Rourkela",Computer Science and Engineering,OS,3386,1180,47,120
8,NIT,"National Institute of Technology Karnataka, Surathkal",Computational and Data Science,OS,3580,1292,,
9,NIT,"National Institute of Technology, Warangal",Mathematics and Computing,HS,3606,1073,396,
10,NIT,"National Institute of Technology, Tiruchirappalli",Electronics and Communication Engineering,OS,3824,1408,68,131
11,NIT,"National Institute of Technology, Rourkela",Artificial Intelligence,OS,4216,1381,,
12,NIT,Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering,OS,4521,1664,86,140
13,NIT,"National Institute of Technology Karnataka, Surathkal",Electronics and Communication Engineering,OS,4723,1714,,
14,NIT,National Institute of Technology Calicut,Computer Science and Engineering,OS,4987,1643,98,100
15,NIT,Malaviya National Institute of Technology Jaipur,Computer Science and Engineering,OS,5074,1925,84,138
16,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering,HS,5295,1847,108,
17,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology,AI,5558,2488,188,249
18,IIIT,"Indian Institute of Information Technology, Allahabad",Information Technology-Business Informatics,AI,5774,2593,221,270
19,NIT,"National Institute of Technology, Rourkela",Electronics and Communication Engineering,OS,6092,2088,,176
20,NIT,"National Institute of Technology, Warangal",Electronics and Communication Engineering (VLSI Design and Technology),HS,6111,1941,,315
21,NIT,"National Institute of Technology, Tiruchirappalli",Electrical and Electronics Engineering,OS,6134,2409,,287
