Priority,Type,Institute,BranchCode,Branch,Composite,Reach,Note
1,NIT,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,99.25,Out,
2,NIT,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,98.5,Out,
3,NIT,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),98.05,Out,
4,NIT,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,97.75,Out,
5,NIT,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,97.0,Out,
6,NIT,"National Institute of Technology, Warangal",4124,Mathematics and Computing,96.45,Reach,
7,NIT,National Institute of Technology Calicut,4110,Computer Science and Engineering,96.25,Out,
8,NIT,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,95.75,Out,
9,NIT,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,95.75,Out,
10,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,95.5,Out,
11,NIT,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,95.0,Out,
12,NIT,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,94.75,Out,
13,NIT,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),94.45,Out,
14,NIT,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),94.3,No-data,
15,NIT,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,94.2,No-data,
16,NIT,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,94.0,Out,
17,NIT,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,93.75,Out,
18,NIT,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,93.25,Out,
19,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,93.25,Out,
20,NIT,Malaviya National Institute of Technology Jaipur,411G,Artificial Intelligence and Data Engineering,92.75,Out,
21,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4124,Mathematics and Computing,92.7,No-data,
22,NIT,"National Institute of Technology, Tiruchirappalli",4114,Electronics and Communication Engineering,92.5,Out,
23,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4110,Computer Science and Engineering,92.5,Reach,
24,NIT,Malaviya National Institute of Technology Jaipur,4124,Mathematics and Computing,91.95,No-data,
25,NIT,"National Institute of Technology Karnataka, Surathkal",4114,Electronics and Communication Engineering,91.75,Out,
26,NIT,National Institute of Technology Durgapur,4110,Computer Science and Engineering,91.75,Out,
27,NIT,"National Institute of Technology, Warangal",4144,Electrical and Electronics Engineering,91.25,Reach,
28,NIT,"National Institute of Technology, Warangal",413O,Electrical and Electronics Engineering (Electric Mobility),91.25,No-data,
29,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4185,Artificial Intelligence,91.25,Out,
30,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",5B06,Artificial Intelligence,91.25,Out,
31,NIT,Motilal Nehru National Institute of Technology Allahabad,4124,Mathematics and Computing,91.2,No-data,
32,NIT,"National Institute of Technology, Rourkela",4114,Electronics and Communication Engineering,91.0,Out,
33,NIT,Maulana Azad National Institute of Technology Bhopal,4110,Computer Science and Engineering,91.0,Out,
34,NIT,"Visvesvaraya National Institute of Technology, Nagpur",411H,Electronics Engineering (VLSI Design and Technology),90.7,No-data,
35,NIT,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,90.5,Out,
36,NIT,"Sardar Vallabhbhai National Institute of Technology, Surat",4124,Mathematics and Computing,90.45,Reach,
37,NIT,National Institute of Technology Calicut,4114,Electronics and Communication Engineering,90.25,Out,
38,NIT,"National Institute of Technology, Kurukshetra",4110,Computer Science and Engineering,90.25,Out,
39,NIT,"National Institute of Technology, Kurukshetra",5216,Computer Science and Engineering,90.25,Out,
40,NIT,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,89.8,Out,
41,NIT,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,89.75,Out,
42,NIT,"Indian Institute of Engineering Science and Technology, Shibpur",4124,Mathematics and Computing,89.7,No-data,
43,NIT,"Visvesvaraya National Institute of Technology, Nagpur",4114,Electronics and Communication Engineering,89.5,Out,
44,NIT,"National Institute of Technology, Jamshedpur",4110,Computer Science and Engineering,89.5,Out,
