"url","title","channel","publishedAt","views","likes","comments","duration","theme","query"
"https://www.youtube.com/watch?v=FbtNt57U7fY","All About JOSAA Counselling JEE 2026 | JEE Mains #josaa #josaacounselling #jee2026 #shorts #iit","Vedantu JEE Made Ejee","2025-04-29T03:30:20Z","858400","45361","1085","PT2M18S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=McQu4W0RtRc","JOSAA Counselling Round 1 Result | IIT BOMBAY | Seat Allotment |#jeeadvance2023 #iitbombay","Prabhat Kumar(IITB)","2023-07-03T13:48:01Z","710679","12184","405","PT22S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=DAjdltv1MDM","🚨MOCK SEAT ALLOCATION JOSAA 2026✅ | JOSAA Mock Seat Allotment #jee #iitjee #iit #shorts","Gourab Roy","2024-06-17T09:05:36Z","206055","1641","128","PT29S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=qRGc5CIvxGo","MOCK SEAT ALLOCATION JOSAA 2026✅ | JOSAA Mock Seat Allotment | JOSAA Counselling 2026 #shorts","Gourab Roy","2024-06-15T14:11:27Z","150638","2202","116","PT19S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=x-NxArm7M84","🔥 my josaa round 6 result 😌 #josaa2023 #josaa #csab #csab2023 #college #iit #iiit #nit","IIIT KA CHHATRA","2023-07-26T19:36:04Z","146221","0","85","PT12S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=YskgjTEB3-A","JOSAA Round 1 Result✅ | JOSAA Counselling 2025 Round 1 | JOSAA 2025","Souvik & Sachin Bhaiya","2025-06-14T07:29:38Z","117124","705","57","PT19S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=4oTSZ3NACjI","🚨How to Check JOSAA Mock Seat Allotment 2026✅ | Mock Seat Allotment JOSAA 2026 #shorts","Gourab Roy","2025-06-09T10:31:30Z","36694","0","87","PT20S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=RqPxkc-kBEQ","Mock Seat Round क्या होता है  ? Is it Real Seat allocation ? JOSAA Counselling 2023","Rankers- JEE","2023-06-20T06:55:15Z","36342","658","66","PT4M11S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=hxP8YHTBaQs","JoSAA Mock Seat Allotment Reailty | How Accurate is Mock Seat Allocation | JoSAA 2025 Counselling","Rankers- JEE","2025-06-08T10:32:22Z","30337","392","80","PT5M42S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=0ePFFEC__II","JOSAA Mock Seat Allotment 1 2024 #iit #josaa2024 #iitbombay","Hyd","2024-06-15T08:49:23Z","29830","456","50","PT12S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=g40p-HLN69U","JOSAA Mock Round 2 Allotment✅ | JOSAA Mock Seat Allotment 2026 | JOSAA Counselling 2026 #shorts","Gourab Roy","2025-06-11T09:20:15Z","27456","0","71","PT17S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=DVM4rf4n8Q8","JOSAA Counselling Mock Seat Allotment Shocking Update✅ | Mock Seat Allotment Josaa Counselling 2026","We Won Academy","2026-06-06T04:00:13Z","21345","623","22","PT2M30S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=jizHAA6BOP8","JoSAA mock seat allotment🤩🤩🤩| #josaa #josaacounseling   #jee #pw","Anant Sharma","2024-06-15T08:47:33Z","20537","100","13","PT13S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=uF9icVnngkA","JOSAA Choice Filling Mock Allotment ! #iit #jee","RDS Vlogs [IIT Guwahati]","2025-06-10T09:57:47Z","20085","194","83","PT7S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=WDZOLzZ3Bxc","JOSAA SEAT ALLOTMENT | Mock Round 2 | AIR 179 IIT DELHI | JEE ADVANCED COUNSELLING |  #IIT #JOSAA","Target SSC","2023-06-27T07:18:50Z","15389","124","14","PT9S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=EXz2hsPbVlE","JoSAA Counselling 2026 Complete Overview | Registration, Choice Filling, Seat Allotment","Matrix Sikar : IIT-JEE / NEET Coaching","2026-06-06T08:43:21Z","11005","263","46","PT51M43S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=FyeclBTALII","JOSAA Counselling Mock Seat Allocation Urgent Update✅ Big Confusion🤔 |Mock Seat Allotment Josaa 2026","We Won Academy","2026-06-07T04:00:38Z","8402","148","17","PT8M55S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=LQymxDf69yQ","JoSAA 2026 Mock Allotment-1 Results 🔥 | IIT/NIT/IIIT Seat Chances | Counselling Strategy 2026","HAREESH REDDY","2026-06-07T07:37:47Z","7738","396","32","PT16M45S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=Dai3el-HFyA","JOSAA లో MOCK ALLOTMENT ఎప్పుడు ఎలా వస్తుంది #PHANI sir","PHANI sir MATHS IIT - JEE CLASSES","2026-06-06T14:15:19Z","5520","355","17","PT5M22S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=wrrze1nVZb4","SEAT ALLOTMENT IN  IIT NIT IIIT |JoSAA-2026|OC OBC SC ST EWS PWD Complete Guide| Category - Analysis","HAREESH REDDY","2026-06-05T14:10:27Z","5180","313","56","PT15M16S","choice_filling","JoSAA mock allotment"
"https://www.youtube.com/watch?v=AMGvBJ_-QVk","JoSAA-2026 |MOCK ALLOTMENT | ఎలా ఇస్తారు చూడండి |  సీటు రాకుంటే ఏం చెయ్యాలి...? ఈ తప్పులు చేయకండి..","HAREESH REDDY","2026-06-07T11:19:14Z","5173","150","1","PT2M31S","choice_filling","JoSAA mock allotment"
