Choice,Tier,Composite,Type,InstCode,Institute,BranchCode,Branch,Reach,Note
1,Circuit,99.25,NIT,228,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Out,circuit
2,Circuit,98.5,NIT,226,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Out,circuit
3,Circuit,98.05,NIT,228,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Out,circuit
4,Circuit,97.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Out,circuit
5,Circuit,97.0,NIT,223,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Out,circuit
6,Circuit,96.45,NIT,228,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Reach,circuit
7,Circuit,96.25,NIT,206,National Institute of Technology Calicut,4110,Computer Science and Engineering,Out,circuit
8,Circuit,95.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Out,circuit
9,Circuit,95.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Out,circuit
10,Circuit,95.5,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Out,circuit
11,Circuit,95.0,NIT,223,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Out,circuit
12,Circuit,94.75,NIT,202,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Out,circuit
13,Circuit,94.45,NIT,228,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Out,circuit
14,Circuit,94.3,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),No-data,circuit
15,Circuit,94.2,NIT,223,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,No-data,circuit
16,Circuit,94.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Out,circuit
17,Circuit,93.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Out,circuit
18,Circuit,93.25,NIT,228,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Out,circuit
19,Circuit,93.25,NIT,229,"Sardar Vallabhbhai National Institute of Technology, Surat",4110,Computer Science and Engineering,Out,circuit
