Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,HisQuota,Reach,OBC-PwD_close,Gen-PwD_close
1,NIT,228,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Y,HS,Out,154,98
2,NIT,228,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,HS,Out,,119
3,NIT,228,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Y,HS,Reach,283,
4,NIT,228,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Y,HS,Out,,528
5,NIT,228,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Y,HS,Out,155,
6,NIT,228,"National Institute of Technology, Warangal",4144,Electrical and Electronics Engineering,Y,HS,Reach,356,623
7,NIT,228,"National Institute of Technology, Warangal",413O,Electrical and Electronics Engineering (Electric Mobility),Y,HS,No-data,,
8,NIT,228,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Y,HS,Borderline,455,548
9,NIT,228,"National Institute of Technology, Warangal",4107,Chemical Engineering,Y,HS,Reach,,811
10,NIT,228,"National Institute of Technology, Warangal",5210,Chemical Engineering,Y,HS,Out,,
11,NIT,228,"National Institute of Technology, Warangal",4109,Civil Engineering,Y,HS,Out,,531
12,NIT,228,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Y,HS,Borderline,,1125
13,NIT,228,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,-,HS,Out,,
14,NIT,228,"National Institute of Technology, Warangal",5503,Chemistry,Y,HS,Good,,1512
15,NIT,228,"National Institute of Technology, Warangal",5508,Mathematics,Y,HS,Good,579,
16,NIT,228,"National Institute of Technology, Warangal",5507,Physics,Y,HS,Out,,
17,NIT,228,"National Institute of Technology, Warangal",4104,Bio Technology,Y,HS,Reach,,850
18,NIT,226,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Y,OS,Out,18,43
19,NIT,226,"National Institute of Technology, Tiruchirappalli",4114,Electronics and Communication Engineering,Y,OS,Out,80,183
20,NIT,226,"National Institute of Technology, Tiruchirappalli",4144,Electrical and Electronics Engineering,Y,OS,Out,,194
21,NIT,226,"National Institute of Technology, Tiruchirappalli",4125,Mechanical Engineering,Y,OS,Out,222,393
22,NIT,226,"National Institute of Technology, Tiruchirappalli",4145,Production Engineering,Y,OS,Good,544,954
23,NIT,226,"National Institute of Technology, Tiruchirappalli",4107,Chemical Engineering,Y,OS,Out,,196
24,NIT,226,"National Institute of Technology, Tiruchirappalli",4109,Civil Engineering,Y,OS,Out,270,575
25,NIT,226,"National Institute of Technology, Tiruchirappalli",4127,Metallurgical and Materials Engineering,Y,OS,Reach,,797
26,NIT,226,"National Institute of Technology, Tiruchirappalli",5101,Architecture,Y,OS,Out,66,
27,NIT,226,"National Institute of Technology, Tiruchirappalli",4148,Instrumentation and Control Engineering,Y,OS,Good,503,789
28,NIT,211,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Y,OS,Out,24,
29,NIT,211,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Y,OS,Out,,71
30,NIT,211,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Y,OS,Out,,
31,NIT,211,"National Institute of Technology Karnataka, Surathkal",4114,Electronics and Communication Engineering,Y,OS,Out,,
32,NIT,211,"National Institute of Technology Karnataka, Surathkal",4144,Electrical and Electronics Engineering,Y,OS,Out,100,
33,NIT,211,"National Institute of Technology Karnataka, Surathkal",4146,Information Technology,Y,OS,Out,,112
34,NIT,211,"National Institute of Technology Karnataka, Surathkal",4125,Mechanical Engineering,Y,OS,Out,257,611
35,NIT,211,"National Institute of Technology Karnataka, Surathkal",4107,Chemical Engineering,Y,OS,Good,495,336
36,NIT,211,"National Institute of Technology Karnataka, Surathkal",4109,Civil Engineering,Y,OS,Reach,368,776
37,NIT,211,"National Institute of Technology Karnataka, Surathkal",4127,Metallurgical and Materials Engineering,Y,OS,Good,531,1241
38,NIT,211,"National Institute of Technology Karnataka, Surathkal",4130,Mining Engineering,-,OS,Out,,
39,NIT,223,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Y,OS,Out,57,118
40,NIT,223,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Y,OS,Out,,
41,NIT,223,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,-,OS,No-data,,
42,NIT,223,"National Institute of Technology, Rourkela",4114,Electronics and Communication Engineering,Y,OS,Out,,232
43,NIT,223,"National Institute of Technology, Rourkela",4142,Electronics and Instrumentation Engineering,Y,OS,Out,,
44,NIT,223,"National Institute of Technology, Rourkela",4111,Electrical Engineering,Y,OS,Out,261,478
45,NIT,223,"National Institute of Technology, Rourkela",4125,Mechanical Engineering,Y,OS,Borderline,399,712
46,NIT,223,"National Institute of Technology, Rourkela",5258,Ceramic Engineering and M.Tech Industrial Ceramic,-,OS,Out,,
47,NIT,223,"National Institute of Technology, Rourkela",4155,Industrial Design,-,OS,Out,,
48,NIT,223,"National Institute of Technology, Rourkela",4107,Chemical Engineering,Y,OS,Reach,,788
49,NIT,223,"National Institute of Technology, Rourkela",5210,Chemical Engineering,-,OS,No-data,,
50,NIT,223,"National Institute of Technology, Rourkela",4109,Civil Engineering,Y,OS,Borderline,427,641
51,NIT,223,"National Institute of Technology, Rourkela",4127,Metallurgical and Materials Engineering,Y,OS,Good,641,1439
52,NIT,223,"National Institute of Technology, Rourkela",5243,Metallurgical and Materials Engineering,-,OS,Out,,
53,NIT,223,"National Institute of Technology, Rourkela",5101,Architecture,-,OS,Out,,
54,NIT,223,"National Institute of Technology, Rourkela",4106,Ceramic Engineering,Y,OS,SAFE,,2228
55,NIT,223,"National Institute of Technology, Rourkela",4169,Food Process Engineering,-,OS,Out,,
