Choice,Composite,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach,Note
1,99.25,NIT,228,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Y,Out,
2,98.5,NIT,226,"National Institute of Technology, Tiruchirappalli",4110,Computer Science and Engineering,Y,Out,
3,98.05,NIT,228,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,Out,
4,97.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4110,Computer Science and Engineering,Y,Out,
5,97.0,NIT,223,"National Institute of Technology, Rourkela",4110,Computer Science and Engineering,Y,Out,
6,96.45,NIT,228,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Y,Reach,
7,96.25,NIT,206,National Institute of Technology Calicut,4110,Computer Science and Engineering,Y,Out,
8,95.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",4185,Artificial Intelligence,Y,Out,
9,95.75,NIT,211,"National Institute of Technology Karnataka, Surathkal",410Q,Computational and Data Science,Y,Out,
10,95.5,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Y,Out,
11,95.0,NIT,223,"National Institute of Technology, Rourkela",4185,Artificial Intelligence,Y,Out,
12,94.75,NIT,202,Malaviya National Institute of Technology Jaipur,4110,Computer Science and Engineering,Y,Out,
13,94.45,NIT,228,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Y,Out,
14,94.3,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),Y,No-data,
15,94.2,NIT,223,"National Institute of Technology, Rourkela",411F,B.Tech in Mathematics and Computing,-,No-data,
16,94.0,NIT,204,Motilal Nehru National Institute of Technology Allahabad,4110,Computer Science and Engineering,Y,Out,
17,93.25,NIT,228,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Y,Out,
