Choice,Type,InstCode,Institute,BranchCode,Branch,PwDseat,Reach2025,Via,OBC-PwD_close,Gen-PwD_close
1,NIT,228,"National Institute of Technology, Warangal",4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),154,101
2,NIT,228,"National Institute of Technology, Warangal",412F,Computer Science and Engineering ( Artificial Intelligence & Data Science),Y,Out,OBC-NCL(PwD),52,119
3,NIT,228,"National Institute of Technology, Warangal",4124,Mathematics and Computing,Y,Reach,OBC-NCL(PwD),283,
4,NIT,228,"National Institute of Technology, Warangal",410Z,Electronics and Communication Engineering (VLSI Design and Technology),Y,Out,General PwD,141,528
5,NIT,228,"National Institute of Technology, Warangal",4114,Electronics and Communication Engineering,Y,Out,OBC-NCL(PwD),155,185
6,NIT,228,"National Institute of Technology, Warangal",4144,Electrical and Electronics Engineering,Y,Reach,OBC-NCL(PwD),356,623
7,NIT,228,"National Institute of Technology, Warangal",413O,Electrical and Electronics Engineering (Electric Mobility),Y,No-data,,,
8,NIT,228,"National Institute of Technology, Warangal",4125,Mechanical Engineering,Y,Borderline,OBC-NCL(PwD),455,548
9,NIT,228,"National Institute of Technology, Warangal",4107,Chemical Engineering,Y,Good,OBC-NCL(PwD),541,811
10,NIT,228,"National Institute of Technology, Warangal",5210,Chemical Engineering,Y,Out,General,,
11,NIT,228,"National Institute of Technology, Warangal",4109,Civil Engineering,Y,Out,General PwD,,574
12,NIT,228,"National Institute of Technology, Warangal",4127,Metallurgical and Materials Engineering,Y,Good,OBC-NCL(PwD),743,1125
13,NIT,228,"National Institute of Technology, Warangal",5243,Metallurgical and Materials Engineering,-,Out,General,,
14,NIT,228,"National Institute of Technology, Warangal",4104,Bio Technology,Y,Good,OBC-NCL(PwD),548,850
15,NIT,228,"National Institute of Technology, Warangal",5503,Chemistry,Y,Good,General PwD,,1512
16,NIT,228,"National Institute of Technology, Warangal",5508,Mathematics,Y,Good,OBC-NCL(PwD),579,
17,NIT,228,"National Institute of Technology, Warangal",5507,Physics,Y,Out,OBC-NCL,,
18,NIT,231,"National Institute of Technology, Andhra Pradesh",4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),218,432
19,NIT,231,"National Institute of Technology, Andhra Pradesh",4114,Electronics and Communication Engineering,Y,Out,General PwD,190,615
20,NIT,231,"National Institute of Technology, Andhra Pradesh",4144,Electrical and Electronics Engineering,Y,Good,OBC-NCL(PwD),646,1173
21,NIT,231,"National Institute of Technology, Andhra Pradesh",4125,Mechanical Engineering,Y,SAFE,OBC-NCL(PwD),806,1166
22,NIT,231,"National Institute of Technology, Andhra Pradesh",4107,Chemical Engineering,Y,Good,General PwD,,1549
23,NIT,231,"National Institute of Technology, Andhra Pradesh",4109,Civil Engineering,Y,Good,OBC-NCL(PwD),684,1597
24,NIT,231,"National Institute of Technology, Andhra Pradesh",4127,Metallurgical and Materials Engineering,Y,Good,General PwD,,1783
25,NIT,231,"National Institute of Technology, Andhra Pradesh",4104,Bio Technology,Y,SAFE,General PwD,698,1926
26,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",4110,Computer Science and Engineering,Y,Out,OBC-NCL(PwD),122,281
27,NIT,230,"Visvesvaraya National Institute of Technology, Nagpur",413Z,Computer Science and Engineering (Artificial Intelligence and Data Science),Y,No-data,,,
